epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.008,1.46847,4.93281,1.17519,0,0,0,0,1.02044,8.0786,0.72769,5.56e-05,5.56e-05,5.56e-05
2,276.838,1.3794,4.40731,1.09272,0.00836,0.16363,0.02549,0.01806,0.89846,7.94989,0.67147,0.000115604,0.000115604,0.000115604
3,410.098,1.45379,3.77332,1.07156,0.0025,0.24442,0.04845,0.03276,0.87241,7.85514,0.66082,0.000174397,0.000174397,0.000174397
4,578.304,1.4022,3.11169,1.03309,0.00256,0.37786,0.04931,0.03334,0.91351,7.78081,0.66666,0.000231979,0.000231979,0.000231979
5,744.19,1.39157,2.95381,1.00615,0.95562,0.05882,0.05786,0.04119,0.85873,7.51095,0.65734,0.00028835,0.00028835,0.00028835
6,907.646,1.32086,2.64417,1.01642,0.56132,0.12834,0.04341,0.0297,0.87939,7.38512,0.67084,0.000343511,0.000343511,0.000343511
7,1072.74,1.32276,2.54809,1.0186,0.90925,0.05297,0.08781,0.04957,0.92104,7.31308,0.67806,0.00039746,0.00039746,0.00039746
8,1238.19,1.29539,2.33641,0.99731,0.96634,0.04656,0.12762,0.08133,0.87306,7.11951,0.67354,0.000450198,0.000450198,0.000450198
9,1405.56,1.27918,2.25224,1.00538,0.89948,0.05313,0.10906,0.06994,0.85896,7.0138,0.67218,0.000501726,0.000501726,0.000501726
10,1543.7,1.34119,2.33456,1.0079,0.01204,0.50061,0.12893,0.08297,0.91208,6.85114,0.69621,0.00050646,0.00050646,0.00050646
11,1682.03,1.29213,2.23925,0.97636,0.76621,0.08091,0.13223,0.08213,0.92274,7.47591,0.68027,0.000500956,0.000500956,0.000500956
12,1817.33,1.24996,2.24857,0.96672,0.62513,0.17302,0.12677,0.08017,0.89926,7.77529,0.67137,0.000495452,0.000495452,0.000495452
13,1954.77,1.23372,2.07177,0.98498,0.60465,0.21635,0.11995,0.07738,0.86391,10.6077,0.66338,0.000489947,0.000489947,0.000489947
14,2086.72,1.1834,1.92119,0.94927,0.52961,0.08775,0.08023,0.05121,0.8131,8.52045,0.64803,0.000484443,0.000484443,0.000484443
15,2218.42,1.15958,1.90885,0.93382,0.57682,0.14382,0.09021,0.05485,0.8265,9.2538,0.65613,0.000478938,0.000478938,0.000478938
16,2350.87,1.19312,1.99183,0.97413,0.57139,0.17713,0.10653,0.06537,0.82451,8.93585,0.66483,0.000473434,0.000473434,0.000473434
17,2478.99,1.16808,1.8653,0.95168,0.56514,0.11926,0.12108,0.07653,0.79477,8.0013,0.65336,0.00046793,0.00046793,0.00046793
18,2609.06,1.196,2.03909,0.95926,0.56101,0.16373,0.14387,0.0915,0.81537,7.80463,0.65208,0.000462425,0.000462425,0.000462425
19,2747.07,1.1664,1.87886,0.96032,0.37686,0.23293,0.09317,0.06017,0.84652,11.2446,0.66385,0.000456921,0.000456921,0.000456921
20,2879.14,1.14549,1.84015,0.95604,0.30937,0.24978,0.11006,0.06837,0.85811,13.5716,0.66762,0.000451416,0.000451416,0.000451416
21,3043.65,1.18609,1.85551,0.94243,0.4859,0.28135,0.11607,0.07021,0.85519,11.7392,0.66542,0.000445912,0.000445912,0.000445912
22,3221.14,1.17327,1.90398,0.94562,0.31781,0.26624,0.10886,0.06669,0.81592,11.2105,0.65621,0.000440408,0.000440408,0.000440408
23,3375.11,1.1541,1.69481,0.93807,0.56064,0.23713,0.11891,0.0724,0.82155,15.7872,0.65522,0.000434903,0.000434903,0.000434903
24,3531.04,1.14686,1.73658,0.9359,0.39796,0.24636,0.09139,0.05648,0.80491,11.803,0.65258,0.000429399,0.000429399,0.000429399
25,3696.24,1.11994,1.71472,0.93854,0.41439,0.22519,0.11328,0.06766,0.84057,10.235,0.65833,0.000423894,0.000423894,0.000423894
26,3839.62,1.1491,1.58157,0.94156,0.51905,0.14309,0.11887,0.07121,0.84139,8.68222,0.67417,0.00041839,0.00041839,0.00041839
27,3980.8,1.15404,1.6123,0.97604,0.12742,0.5037,0.08333,0.05051,0.86869,7.79358,0.68453,0.000412886,0.000412886,0.000412886
28,4115.32,1.11675,1.70468,0.9358,0.36703,0.07784,0.06006,0.03745,0.8597,8.25442,0.68532,0.000407381,0.000407381,0.000407381
29,4250.3,1.08909,1.62987,0.93369,0.16462,0.16638,0.07688,0.04731,0.83435,9.70567,0.66253,0.000401877,0.000401877,0.000401877
30,4397.01,1.06257,1.58877,0.92086,0.31453,0.16138,0.07645,0.047,0.83031,10.2671,0.65913,0.000396372,0.000396372,0.000396372
31,4543.41,1.07062,1.52318,0.93075,0.19215,0.2086,0.11706,0.07354,0.80538,12.1103,0.65322,0.000390868,0.000390868,0.000390868
32,4695.97,1.06585,1.57303,0.91497,0.25425,0.22746,0.10412,0.06575,0.81067,12.0281,0.65381,0.000385364,0.000385364,0.000385364
33,4853.39,1.08375,1.62234,0.91289,0.254,0.32157,0.11937,0.07552,0.83415,15.3593,0.66934,0.000379859,0.000379859,0.000379859
34,5011.24,1.06051,1.46115,0.9196,0.28308,0.34208,0.13891,0.09481,0.83822,18.0039,0.66456,0.000374355,0.000374355,0.000374355
35,5145.53,1.05843,1.49773,0.92801,0.14913,0.21257,0.07613,0.04929,0.81352,11.8454,0.66428,0.00036885,0.00036885,0.00036885
36,5301.87,1.07673,1.46846,0.91366,0.08351,0.13321,0.08444,0.0541,0.8031,8.88423,0.65758,0.000363346,0.000363346,0.000363346
37,5455.65,1.04555,1.42326,0.91177,0.1634,0.20293,0.08973,0.05458,0.88755,12.4621,0.67584,0.000357842,0.000357842,0.000357842
38,5612.71,1.02863,1.41559,0.91138,0.15096,0.25001,0.08888,0.05689,0.84103,12.0105,0.65698,0.000352337,0.000352337,0.000352337
39,5763.81,1.03537,1.44459,0.92322,0.07503,0.17068,0.07391,0.04806,0.82374,8.10512,0.65555,0.000346833,0.000346833,0.000346833
40,5902.48,1.03099,1.41034,0.90654,0.10227,0.1998,0.10034,0.06459,0.83161,10.7008,0.64705,0.000341328,0.000341328,0.000341328
41,6066.2,0.95768,1.33444,0.88356,0.10716,0.15607,0.10072,0.06532,0.85428,9.66469,0.64948,0.000335824,0.000335824,0.000335824
42,6230.04,1.01078,1.39365,0.89793,0.08185,0.50485,0.09221,0.06075,0.83499,10.2575,0.65137,0.00033032,0.00033032,0.00033032
43,6391.54,1.00938,1.29132,0.90162,0.10844,0.3548,0.12297,0.08255,0.85385,8.86167,0.66044,0.000324815,0.000324815,0.000324815
44,6530.23,1.00459,1.34298,0.89321,0.04694,0.65955,0.09987,0.0678,0.85265,10.8142,0.6661,0.000319311,0.000319311,0.000319311
45,6665.52,1.02304,1.23645,0.90937,0.04502,0.6536,0.09363,0.06141,0.85287,13.2073,0.66547,0.000313806,0.000313806,0.000313806
46,6799.68,0.98721,1.2292,0.89452,0.09773,0.20632,0.10328,0.06947,0.84978,10.3733,0.66056,0.000308302,0.000308302,0.000308302
47,6927.55,0.97176,1.24137,0.9061,0.14063,0.20189,0.10846,0.07104,0.82931,13.8,0.65189,0.000302798,0.000302798,0.000302798
48,7053.03,1.00919,1.27583,0.89807,0.04098,0.65917,0.07815,0.05071,0.83876,10.3649,0.66254,0.000297293,0.000297293,0.000297293
49,7184.13,0.96504,1.23769,0.88375,0.15771,0.23647,0.07819,0.05151,0.83535,10.6241,0.6592,0.000291789,0.000291789,0.000291789
50,7321.37,0.97325,1.18704,0.88964,0.06938,0.27212,0.08372,0.05338,0.83464,12.8527,0.65516,0.000286284,0.000286284,0.000286284
